frame_abs,frame_rel,time_s,mask_pixels,mask_ratio,temp_mean,temp_min,temp_max
780,0,31.200,11936,0.62,101.61,27.75,205.15
781,1,31.240,9726,0.51,117.44,28.15,204.05
782,2,31.280,10106,0.53,130.97,28.95,232.15
783,3,31.320,11567,0.60,144.36,30.35,228.15
784,4,31.360,11345,0.59,136.41,29.65,234.65
785,5,31.400,13817,0.72,123.03,29.65,230.75
786,6,31.440,14584,0.76,117.35,29.25,231.75
787,7,31.480,16333,0.85,108.64,28.15,231.05
788,8,31.520,15785,0.82,95.60,28.55,207.05
789,9,31.560,16906,0.88,102.74,28.55,223.15
790,10,31.600,12407,0.65,143.08,29.25,244.15
791,11,31.640,15147,0.79,141.32,29.25,244.65
792,12,31.680,16689,0.87,153.24,29.25,237.35
793,13,31.720,12716,0.66,144.02,29.65,238.65
794,14,31.760,14605,0.76,155.19,26.55,246.75
795,15,31.800,15002,0.78,148.86,23.75,246.55
796,16,31.840,15280,0.80,139.04,20.55,246.05
797,17,31.880,14277,0.74,127.89,21.75,243.95
798,18,31.920,13024,0.68,115.22,19.65,242.95
799,19,31.960,12411,0.65,103.91,19.65,241.85
800,20,32.000,17808,0.93,125.86,20.15,240.55
801,21,32.040,14378,0.75,119.08,18.85,240.65
802,22,32.080,18227,0.95,144.39,19.65,244.45
803,23,32.120,7815,0.41,192.70,58.55,245.05
804,24,32.160,16154,0.84,186.12,39.05,244.75
805,25,32.200,17511,0.91,179.48,37.05,243.35
806,26,32.240,18795,0.98,165.48,30.35,242.55
807,27,32.280,17575,0.92,151.47,23.05,241.05
808,28,32.320,24858,1.29,146.62,23.05,242.55
809,29,32.360,27202,1.42,150.56,20.55,242.15
810,30,32.400,22953,1.20,146.04,19.35,242.25
811,31,32.440,21734,1.13,147.00,18.85,241.75
812,32,32.480,13410,0.70,143.81,18.85,232.45
813,33,32.520,10443,0.54,152.64,19.35,232.05
814,34,32.560,9840,0.51,135.75,18.85,236.45
815,35,32.600,11700,0.61,127.08,18.85,238.65
816,36,32.640,13124,0.68,137.97,51.45,239.45
817,37,32.680,17663,0.92,162.36,50.75,239.15
818,38,32.720,18034,0.94,167.09,37.05,239.05
819,39,32.760,21568,1.12,159.83,28.95,239.15
820,40,32.800,22239,1.16,137.62,23.35,236.95
821,41,32.840,21250,1.11,119.44,23.05,229.55
822,42,32.880,21482,1.12,112.34,20.55,229.95
823,43,32.920,19845,1.03,104.69,21.45,229.15
824,44,32.960,20246,1.05,122.07,23.75,231.05
825,45,33.000,10316,0.54,158.72,31.55,230.25
826,46,33.040,11678,0.61,158.22,42.65,230.15
827,47,33.080,16051,0.84,172.31,49.25,237.85
828,48,33.120,12544,0.65,170.35,51.15,237.35
829,49,33.160,20211,1.05,121.28,19.35,236.25
830,50,33.200,24128,1.26,114.12,19.65,232.65
831,51,33.240,26167,1.36,109.42,19.65,233.75
832,52,33.280,28489,1.48,115.17,20.15,235.15
833,53,33.320,32115,1.67,122.12,20.15,233.15
834,54,33.360,26704,1.39,121.60,19.65,232.45
835,55,33.400,28623,1.49,122.99,19.35,234.25
836,56,33.440,27864,1.45,116.40,19.35,235.95
837,57,33.480,40462,2.11,125.74,19.35,239.85
